gene,locus_capt,type,Stock_number,PA.site.number,insert.location,PA.group,treatment,collection.time,replicate,tray,row,column,plant_ID,rosette.diameter,bolt.at.collection,germination.day,Length.cm.,primary.length,upper.LR.count,mid.LR.count,lower.LR.count,upper.LR.length,mid.LR.length,lower.LR.length,LR.count,LR.density,mid.LR.density,lower.LR.density,ttl.LR.count,upper.LR.density,below.ground.mass.mg,above.ground.mass.mg,day.to.bolt,diameter.at.bolt,day.to.flower,day.to.mature,reprod.num,basal.fruit.length,mid.fruit.length,upper.fruit.length,inflorescence.height,mainbranch,basal.branch,ttl.maininfl.branch,branch.basalbranch,days.to.collect,days.to.bolt,days.to.flower,collection.age,days.to.mature,ttl.branch,fruit.num,flw.num,aborted.fruits,flw.buds,above.ground.mass.g,plant.age,locus,PAC_count,PAC_count_neg,PAC_count_pos,mean_PAC_insert_dist,mean_PAC_insert_dist_pos,mean_PAC_insert_dist_neg,PAC_strand_group
phytometer,,,CS22647,NA,phytometer,,control,21d,2,1,C,3,23,19.7,n,2,30.8182,2.561,9,2,3,0.812,0.055,0.151,5,2.928543538,2.34283483,3.514252245,NA,NA,0.616,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,IAA,21d,2,1,C,6,26,24.2,n,3,124.2004,5.549,NA,21,18,NA,0.246,0.254,39,10.54244008,11.35339701,9.73148315,NA,NA,0.918,5.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G15100,0,0,0,NA,NA,NA,NA
phytometer,,,CS22636,NA,phytometer,,IAA,21d,2,1,C,7,27,25.5,n,3,137.0385,4.969,NA,13,6,NA,0.564,0.026,19,5.735560475,7.848661703,3.622459247,NA,NA,0.91,6.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22617,NA,phytometer,,control,21d,2,1,C,8,28,NA,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,control,21d,2,1,C,9,29,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,control,21d,2,1,C,10,30,17.3,y,4,56.7766,2.726,NA,8,2,NA,0.247,0.194,10,5.502567865,8.804108584,2.201027146,NA,NA,0.786,5.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,control,21d,1,1,D,1,31,26.8,y,3,79.5731,1.333,NA,8,3,NA,0.355,0.048,11,12.37809452,18.00450113,6.751687922,NA,NA,0.93,12.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G15580,1,1,0,465,NA,465,-
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,control,21d,1,1,D,2,32,35.1,y,3,227.215,2.315,NA,15,2,NA,0.809,0.116,17,11.01511879,19.43844492,2.591792657,NA,NA,2.273,26.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,IAA,21d,2,1,D,3,33,24.1,n,3,90.507,4.581,NA,8,9,NA,0.299,0.49,17,5.566470203,5.239030779,5.893909627,NA,NA,0.798,6.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G35540,4,0,4,1762,1762,NA,+
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,IAA,21d,2,1,D,4,34,25.6,n,3,97.8909,5.722,NA,19,3,NA,0.284,0.017,22,5.767214261,9.961551905,1.572876617,NA,NA,1.711,7.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
LAX2,AT2G21050,auxin.transport,SALK_208379C,1,exon,1+2,control,21d,2,1,D,6,36,31.8,y,2,92.0329,5.612,14,10,5,1.799,0.928,0.407,15,4.009265859,5.345687812,2.672843906,NA,NA,0.891,14.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G21050,1,0,1,1535,1535,NA,+
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,IAA,21d,2,1,D,7,37,23.8,n,3,79.7774,3.398,NA,10,6,NA,0.091,0.052,16,7.062978222,8.828722778,5.297233667,NA,NA,0.96,4.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,control,21d,1,1,D,9,39,27.7,y,3,195.7345,5.573,NA,9,7,NA,2.666,0.748,16,4.30647766,4.844787368,3.768167953,NA,NA,1.824,14.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
phytometer,,,CS22596,NA,phytometer,,IAA,21d,1,1,E,2,42,27.1,n,3,156.9035,6.283,NA,20,18,NA,4.131,1.438,38,9.072099316,9.549578227,8.594620404,NA,NA,1.526,10.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,IAA,21d,1,1,E,5,45,21.3,n,2,95.0325,6.625,42,24,12,0.957,0.436,0.55,36,8.150943396,10.86792453,5.433962264,NA,NA,0.766,4.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
phytometer,,,CS70000,NA,phytometer,,control,21d,2,1,E,6,46,28.1,y,4,181.5278,5.962,NA,11,7,NA,1.458,0.948,18,4.52868165,5.535055351,3.52230795,NA,NA,1.233,13.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
SUR1,AT2G20610,auxin.synthesis.metabolism,SALK_113460C,1,intron,1+2,IAA,21d,1,1,E,7,47,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G20610,7,7,0,1293.857143,NA,1293.857143,-
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,21d,1,1,E,8,48,22.3,n,3,68.68,3.343,NA,7,4,NA,1.053,0.254,11,4.935686509,6.28178283,3.589590188,NA,NA,1.302,5.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,IAA,21d,1,1,F,1,51,26.8,y,4,112.7187,5.183,NA,11,8,NA,0.18,0.183,19,5.4987459,6.366968937,4.630522863,NA,NA,1.072,6.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
phytometer,,,CS22658,NA,phytometer,,IAA,21d,1,1,F,2,52,18.8,n,3,64.72,3.955,NA,12,3,NA,0.096,1.241,15,5.689001264,9.102402023,2.275600506,NA,NA,0.394,2.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,IAA,21d,2,1,F,4,54,23.5,n,3,112.7226,4.862,NA,21,4,NA,0.683,0.824,25,7.71287536,12.9576306,2.468120115,NA,NA,0.879,5.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G60450,10,10,0,2728.1,NA,2728.1,-
phytometer,,,CS22647,NA,phytometer,,IAA,21d,2,1,F,6,56,14,n,4,15.3537,3.285,NA,12,1,NA,0.286,0.072,13,5.936073059,10.95890411,0.913242009,NA,NA,0.158,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,control,21d,2,1,F,7,57,NA,,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
IAA33,AT5G57420,auxin.signal.transduction,SALK_134724C,0,promoter,0,IAA,21d,2,1,F,9,59,21.5,n,2,67.4787,2.842,NA,14,0,NA,0.283,0,14,7.389162562,14.77832512,0,NA,NA,0.717,3.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G57420,1,0,1,899,899,NA,+
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,control,21d,2,1,F,10,60,26.2,y,3,145.4262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.276,15.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
phytometer,,,CS22658,NA,phytometer,,control,21d,1,1,G,2,62,30.5,n,2,117.3016,6.077,15,9,8,1.082,0.665,0.305,17,4.196149416,4.442981734,3.949317097,NA,NA,1.074,12.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,control,21d,2,1,G,5,65,25.1,y,2,136.7254,5.378,8,10,6,2.036,0.232,0.394,16,4.462625511,5.578281889,3.346969134,NA,NA,1.223,14.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G60450,10,10,0,2728.1,NA,2728.1,-
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,IAA,21d,1,1,G,8,68,23.6,n,2,74.4652,2.984,NA,8,3,NA,0.361,0.149,11,5.529490617,8.042895442,3.016085791,NA,NA,0.836,4.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
IAA33,AT5G57420,auxin.signal.transduction,SALK_134724C,0,promoter,0,IAA,21d,1,1,G,9,69,21.2,n,2,103.3397,4.394,NA,9,13,NA,0.948,1.374,22,7.510241238,6.144742831,8.875739645,NA,NA,1.853,4.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G57420,1,0,1,899,899,NA,+
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,control,21d,2,1,G,10,70,21.2,y,2,49.1135,3.808,6,3,0,1.004,0.533,0,3,1.181722689,2.363445378,0,NA,NA,0.617,8.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G35540,4,0,4,1762,1762,NA,+
phytometer,,,CS70000,NA,phytometer,,IAA,21d,1,1,H,2,72,26.2,n,3,147.1407,6.021,NA,17,10,NA,1.315,0.091,27,6.726457399,8.470353762,4.982561036,NA,NA,1.135,7.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
phytometer,,,CS22658,NA,phytometer,,IAA,21d,2,1,H,5,75,22.2,n,3,109.7797,4.505,NA,9,17,NA,0.042,0.316,26,8.657047725,5.993340733,11.32075472,NA,NA,0.952,6.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
IAA15,AT1G80390,auxin.signal.transduction,SALK_150265C,0,no.info,0,IAA,21d,2,1,H,10,80,21.9,n,6,113.5631,4.567,NA,9,8,NA,1.751,0.477,17,5.583534049,5.911977228,5.255090869,NA,NA,1.018,5.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G80390,2,2,0,NA,NA,NA,-
ARF1,AT1G59750,auxin.signal.transduction,SALK_079046C,2,exon,1+2,control,21d,1,1,I,1,81,22.8,n,3,66.08,4.234,NA,10,6,NA,0.838,0.065,16,5.668398677,7.085498347,4.251299008,NA,NA,0.78,5.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G59750,23,0,23,1676.869565,1676.869565,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,control,21d,1,1,I,2,82,27.4,y,3,179.1939,6.416,NA,13,23,NA,0.938,0.024,36,8.416458853,6.078553616,10.75436409,NA,NA,1.799,18.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,IAA,21d,2,1,I,8,88,16.1,n,3,80.7037,4.824,NA,19,7,NA,0.208,0.371,26,8.084577114,11.8159204,4.353233831,NA,NA,0.442,2.797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,control,21d,2,1,I,10,90,26.2,y,3,171.3457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.203,13.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G15100,0,0,0,NA,NA,NA,NA
ARF4,AT5G60450,auxin.signal.transduction,SALK_070506C,3,exon,>2,IAA,21d,1,1,J,1,91,22.5,n,3,53.0327,3.301,NA,11,2,NA,0.585,0.182,13,5.907300818,9.996970615,1.817631021,NA,NA,0.482,3.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G60450,10,10,0,2728.1,NA,2728.1,-
IAA5,AT1G15580,auxin.signal.transduction,SALK_112553C,2,exon,1+2,control,21d,2,1,J,2,92,28.6,y,3,145.9129,8.032,NA,11,12,NA,0.116,1.196,23,4.295318725,4.108565737,4.482071713,NA,NA,1.224,15.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G15580,1,1,0,465,NA,465,-
phytometer,,,CS22596,NA,phytometer,,control,21d,2,1,J,4,94,22.8,n,3,75.2192,5.689,NA,6,8,NA,0.884,0.05,14,3.691334154,3.164000703,4.218667604,NA,NA,0.807,13.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
ARF11,AT2G46530,auxin.signal.transduction,SALK_063778C,4,exon,>2,IAA,21d,2,1,J,6,96,22.1,n,3,108.6045,5.811,NA,19,5,NA,0.983,0.49,24,6.195147135,9.808982963,2.581311306,NA,NA,1.337,8.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G46530,4,0,4,1351,1351,NA,+
AFB3,AT1G12820,auxin.signal.transduction,SALK_068787C,1,exon,1+2,IAA,21d,2,1,J,10,100,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G12820,11,11,0,NA,NA,NA,-
IAA8,AT2G22670,auxin.signal.transduction,SALK_202296C,1,promoter,1+2,IAA,21d,1,1,K,2,102,25,n,3,65.7573,5.241,NA,9,2,NA,1.851,1.097,11,3.14825415,5.151688609,1.144819691,NA,NA,1.162,8.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT2G22670,9,0,9,1312.666667,1312.666667,NA,+
ARF14,AT1G35540,auxin.signal.transduction,SALK_049581C,0,exon,0,control,21d,1,1,K,6,106,20,y,3,52.5247,5.612,NA,11,4,NA,3.156,0.207,15,4.009265859,5.880256593,2.138275125,NA,NA,0.36,3.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G35540,4,0,4,1762,1762,NA,+
PIN7,AT1G23080,auxin.transport,SALK_048791C,3,exon,>2,control,21d,2,1,K,7,107,21.8,y,2,173.92,4.708,10,8,2,2.735,0.49,0.057,10,3.18606627,5.097706032,1.274426508,NA,NA,1.506,13.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G23080,7,7,0,1353.714286,NA,1353.714286,-
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,control,21d,2,1,K,9,109,28.6,y,3,179.5532,5.821,NA,8,8,NA,0.131,1.143,16,4.12300292,4.12300292,4.12300292,NA,NA,1.6,13.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
ARF21,AT1G34410,auxin.signal.transduction,SALK_020702C,0,exon,0,IAA,21d,2,1,K,10,110,30.5,y,2,151.6001,3.96,18,8,8,0.867,1.612,0.303,16,6.060606061,6.060606061,6.060606061,NA,NA,1.145,10.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT1G34410,3,0,3,181.6666667,181.6666667,NA,+
PIN8,AT5G15100,auxin.transport,SALK_204263C,0,intron,0,IAA,21d,1,1,L,3,113,23.4,n,4,104.6574,4.926,NA,9,7,NA,0.599,0.1,16,4.872107186,5.481120585,4.263093788,NA,NA,0.944,4.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT5G15100,0,0,0,NA,NA,NA,NA
ABP1,AT4G02980,auxin.signal.transduction,SALK_208329C,4,promoter,>2,control,21d,2,1,L,5,115,20.2,y,5,46.0026,5.006,NA,8,6,NA,0.583,0.08,14,4.194966041,4.794246904,3.595685178,NA,NA,0.288,2.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,AT4G02980,3,3,0,1233.333333,NA,1233.333333,-
phytometer,,,CS22647,NA,phytometer,,IAA,21d,1,1,L,8,118,NA,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,,NA,NA,NA,NA,NA,NA,NA
