chrom,source,feature,begin,end,,,,locus,transcript,,,,,
Chr5,Araport11,CDS,24312091,24312187,.,-,0,AT5G60450,2,Name=ARF4:CDS:1,ID=AT5G60450:CDS:1,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24312091,24312784,.,-,.,AT5G60450,2,Name=ARF4:exon:1,ID=AT5G60450:exon:1,Parent=AT5G60450.2,,
Chr5,Araport11,three_prime_UTR,24308255,24308557,.,-,.,AT5G60450,2,Name=ARF4:three_prime_UTR:1,ID=AT5G60450:three_prime_UTR:1,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24308255,24308726,.,-,.,AT5G60450,2,Name=ARF4:exon:14,ID=AT5G60450:exon:14,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24308809,24308999,.,-,.,AT5G60450,2,Name=ARF4:exon:13,ID=AT5G60450:exon:13,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24309094,24309782,.,-,.,AT5G60450,2,Name=ARF4:exon:12,ID=AT5G60450:exon:12,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24309884,24310049,.,-,.,AT5G60450,2,Name=ARF4:exon:11,ID=AT5G60450:exon:11,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24310149,24310224,.,-,.,AT5G60450,2,Name=ARF4:exon:10,ID=AT5G60450:exon:10,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24310307,24310426,.,-,.,AT5G60450,2,Name=ARF4:exon:9,ID=AT5G60450:exon:9,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24310524,24310685,.,-,.,AT5G60450,2,Name=ARF4:exon:8,ID=AT5G60450:exon:8,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24310809,24310899,.,-,.,AT5G60450,2,Name=ARF4:exon:7,ID=AT5G60450:exon:7,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24310983,24311067,.,-,.,AT5G60450,2,Name=ARF4:exon:6,ID=AT5G60450:exon:6,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24311166,24311351,.,-,.,AT5G60450,2,Name=ARF4:exon:5,ID=AT5G60450:exon:5,Parent=AT5G60450.2,,
Chr5,Araport11,exon,24311614,24311670,.,-,.,AT5G60450,2,Name=ARF4:exon:4,ID=AT5G60450:exon:4,Parent=AT5G60450.2,,
Chr5,Araport11,five_prime_UTR,24312188,24312784,.,-,.,AT5G60450,2,Name=ARF4:five_prime_UTR:1,ID=AT5G60450:five_prime_UTR:1,Parent=AT5G60450.2,,
Chr5,Araport11,mRNA,24308255,24312784,.,-,.,AT5G60450,1,_Curator_summary=Encodes a member of the ARF family of transcription factors which mediate auxin responses. ARF4 appears to have redundant function with ETT(ARF3) in specifying abaxial cell identity.,Dbxref=PMID:11118137,,,
Chr5,Araport11,three_prime_UTR,24308255,24308557,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,exon,24308255,24308726,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24308558,24308726,.,-,1,AT5G60450,1,Name=ARF4:CDS:14,ID=AT5G60450:CDS:14.1,Parent=AT5G60450.1,,
Chr5,Araport11,CDS,24308809,24308999,.,-,0,AT5G60450,1,Name=ARF4:CDS:13,ID=AT5G60450:CDS:13.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24308809,24308999,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24309094,24309782,.,-,2,AT5G60450,1,Name=ARF4:CDS:12,ID=AT5G60450:CDS:12.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24309094,24309782,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24309884,24310049,.,-,0,AT5G60450,1,Name=ARF4:CDS:11,ID=AT5G60450:CDS:11.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24309884,24310049,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24310149,24310224,.,-,1,AT5G60450,1,Name=ARF4:CDS:10,ID=AT5G60450:CDS:10.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24310149,24310224,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24310307,24310426,.,-,1,AT5G60450,1,Name=ARF4:CDS:9,ID=AT5G60450:CDS:9.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24310307,24310426,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24310524,24310685,.,-,1,AT5G60450,1,Name=ARF4:CDS:8,ID=AT5G60450:CDS:8.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24310524,24310685,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24310809,24310899,.,-,2,AT5G60450,1,Name=ARF4:CDS:7,ID=AT5G60450:CDS:7.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24310809,24310899,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24310983,24311067,.,-,0,AT5G60450,1,Name=ARF4:CDS:6,ID=AT5G60450:CDS:6.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24310983,24311067,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24311166,24311351,.,-,0,AT5G60450,1,Name=ARF4:CDS:5,ID=AT5G60450:CDS:5.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24311166,24311351,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24311614,24311670,.,-,0,AT5G60450,1,Name=ARF4:CDS:4,ID=AT5G60450:CDS:4.1,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24311614,24311670,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
Chr5,Araport11,CDS,24311813,24312187,.,-,0,AT5G60450,1,Name=ARF4:CDS:2,ID=AT5G60450:CDS:2,Parent=AT5G60450.1,,
Chr5,Araport11,exon,24311813,24312784,.,-,.,AT5G60450,1,Name=ARF4:exon:2,ID=AT5G60450:exon:2,Parent=AT5G60450.1,,
Chr5,Araport11,five_prime_UTR,24312188,24312784,.,-,.,AT5G60450,1,Parent=AT5G60450.1,,,,
