chrom,source,feature,begin,end,,,,locus,transcript,,,,,,
Chr2,Araport11,CDS,9637721,9637950,.,+,1,AT2G22670,4,Name=IAA8:CDS:4,ID=AT2G22670:CDS:4.1,Parent=AT2G22670.4,,,
Chr2,Araport11,CDS,9638047,9638188,.,+,2,AT2G22670,4,Name=IAA8:CDS:5,ID=AT2G22670:CDS:5.1,Parent=AT2G22670.4,,,
Chr2,Araport11,CDS,9638275,9638336,.,+,1,AT2G22670,4,Name=IAA8:CDS:6,ID=AT2G22670:CDS:6.1,Parent=AT2G22670.4,,,
Chr2,Araport11,CDS,9638416,9638459,.,+,2,AT2G22670,4,Name=IAA8:CDS:7,ID=AT2G22670:CDS:7.1,Parent=AT2G22670.4,,,
Chr2,Araport11,exon,9638416,9638745,.,+,.,AT2G22670,4,Name=IAA8:exon:14,ID=AT2G22670:exon:14,Parent=AT2G22670.4,,,
Chr2,Araport11,three_prime_UTR,9638460,9638745,.,+,.,AT2G22670,4,Name=IAA8:three_prime_UTR:3,ID=AT2G22670:three_prime_UTR:3,Parent=AT2G22670.4,,,
Chr2,Araport11,exon,9637106,9637623,.,+,.,AT2G22670,4,Parent=AT2G22670.4,,,,,
Chr2,Araport11,exon,9637721,9637950,.,+,.,AT2G22670,4,Parent=AT2G22670.4,,,,,
Chr2,Araport11,exon,9638047,9638188,.,+,.,AT2G22670,4,Parent=AT2G22670.4,,,,,
Chr2,Araport11,exon,9638275,9638336,.,+,.,AT2G22670,4,Parent=AT2G22670.4,,,,,
Chr2,Araport11,mRNA,9636440,9638667,.,+,.,AT2G22670,2,_Curator_summary=Encodes a transcriptional repressor of the auxin response that is auxin inducible and is involved in lateral root formation.,Dbxref=PMID:11118137,,,,
Chr2,Araport11,exon,9636440,9636922,.,+,.,AT2G22670,2,Name=IAA8:exon:4,ID=AT2G22670:exon:4,Parent=AT2G22670.2,,,
Chr2,Araport11,five_prime_UTR,9636440,9636922,.,+,.,AT2G22670,2,Name=IAA8:five_prime_UTR:4,ID=AT2G22670:five_prime_UTR:4,Parent=AT2G22670.2,,,
Chr2,Araport11,five_prime_UTR,9637106,9637135,.,+,.,AT2G22670,2,Parent=AT2G22670.2,,,,,
Chr2,Araport11,exon,9637106,9637623,.,+,.,AT2G22670,2,Parent=AT2G22670.2,,,,,
Chr2,Araport11,CDS,9637136,9637623,.,+,0,AT2G22670,2,Name=IAA8:CDS:3,ID=AT2G22670:CDS:3.1,Parent=AT2G22670.2,,,
Chr2,Araport11,CDS,9637721,9637950,.,+,1,AT2G22670,2,Name=IAA8:CDS:4,ID=AT2G22670:CDS:4.2,Parent=AT2G22670.2,,,
Chr2,Araport11,CDS,9638047,9638188,.,+,2,AT2G22670,2,Name=IAA8:CDS:5,ID=AT2G22670:CDS:5.2,Parent=AT2G22670.2,,,
Chr2,Araport11,CDS,9638275,9638336,.,+,1,AT2G22670,2,Name=IAA8:CDS:6,ID=AT2G22670:CDS:6.2,Parent=AT2G22670.2,,,
Chr2,Araport11,CDS,9638422,9638459,.,+,2,AT2G22670,2,Name=IAA8:CDS:8,ID=AT2G22670:CDS:8,Parent=AT2G22670.2,,,
Chr2,Araport11,exon,9638422,9638667,.,+,.,AT2G22670,2,Name=IAA8:exon:16,ID=AT2G22670:exon:16,Parent=AT2G22670.2,,,
Chr2,Araport11,three_prime_UTR,9638460,9638667,.,+,.,AT2G22670,2,Name=IAA8:three_prime_UTR:1,ID=AT2G22670:three_prime_UTR:1,Parent=AT2G22670.2,,,
Chr2,Araport11,exon,9637721,9637950,.,+,.,AT2G22670,2,Parent=AT2G22670.2,,,,,
Chr2,Araport11,exon,9638047,9638188,.,+,.,AT2G22670,2,Parent=AT2G22670.2,,,,,
Chr2,Araport11,exon,9638275,9638336,.,+,.,AT2G22670,2,Parent=AT2G22670.2,,,,,
Chr2,Araport11,mRNA,9636440,9638667,.,+,.,AT2G22670,5,_Symbol=IAA8,Name=AT2G22670.5,_Full_name=indoleacetic acid-induced protein 8,Note=indoleacetic acid-induced protein 8,Dbxref=UniProt:F4IKE9,ID=AT2G22670.5
Chr2,Araport11,exon,9636440,9636637,.,+,.,AT2G22670,5,Name=IAA8:exon:3,ID=AT2G22670:exon:3,Parent=AT2G22670.5,,,
Chr2,Araport11,five_prime_UTR,9636440,9636637,.,+,.,AT2G22670,5,Name=IAA8:five_prime_UTR:3,ID=AT2G22670:five_prime_UTR:3,Parent=AT2G22670.5,,,
Chr2,Araport11,five_prime_UTR,9636808,9637135,.,+,.,AT2G22670,5,Name=IAA8:five_prime_UTR:7,ID=AT2G22670:five_prime_UTR:7,Parent=AT2G22670.5,,,
Chr2,Araport11,exon,9636808,9637623,.,+,.,AT2G22670,5,Name=IAA8:exon:7,ID=AT2G22670:exon:7,Parent=AT2G22670.5,,,
Chr2,Araport11,CDS,9637136,9637623,.,+,0,AT2G22670,5,Name=IAA8:CDS:3,ID=AT2G22670:CDS:3.2,Parent=AT2G22670.5,,,
Chr2,Araport11,CDS,9637721,9637950,.,+,1,AT2G22670,5,Name=IAA8:CDS:4,ID=AT2G22670:CDS:4.3,Parent=AT2G22670.5,,,
Chr2,Araport11,CDS,9638047,9638188,.,+,2,AT2G22670,5,Name=IAA8:CDS:5,ID=AT2G22670:CDS:5.3,Parent=AT2G22670.5,,,
Chr2,Araport11,CDS,9638275,9638336,.,+,1,AT2G22670,5,Name=IAA8:CDS:6,ID=AT2G22670:CDS:6.3,Parent=AT2G22670.5,,,
Chr2,Araport11,CDS,9638422,9638459,.,+,2,AT2G22670,5,Name=IAA8:CDS:8,ID=AT2G22670:CDS:8.1,Parent=AT2G22670.5,,,
Chr2,Araport11,exon,9638422,9638667,.,+,.,AT2G22670,5,Parent=AT2G22670.5,,,,,
Chr2,Araport11,three_prime_UTR,9638460,9638667,.,+,.,AT2G22670,5,Parent=AT2G22670.5,,,,,
Chr2,Araport11,exon,9637721,9637950,.,+,.,AT2G22670,5,Parent=AT2G22670.5,,,,,
Chr2,Araport11,exon,9638047,9638188,.,+,.,AT2G22670,5,Parent=AT2G22670.5,,,,,
Chr2,Araport11,exon,9638275,9638336,.,+,.,AT2G22670,5,Parent=AT2G22670.5,,,,,
Chr2,Araport11,mRNA,9636492,9638683,.,+,.,AT2G22670,3,_Curator_summary=Encodes a transcriptional repressor of the auxin response that is auxin inducible and is involved in lateral root formation.,Dbxref=gene:4010712278,,,,
Chr2,Araport11,exon,9636492,9636637,.,+,.,AT2G22670,3,Name=IAA8:exon:5,ID=AT2G22670:exon:5,Parent=AT2G22670.3,,,
Chr2,Araport11,five_prime_UTR,9636492,9636637,.,+,.,AT2G22670,3,Name=IAA8:five_prime_UTR:5,ID=AT2G22670:five_prime_UTR:5,Parent=AT2G22670.3,,,
Chr2,Araport11,five_prime_UTR,9637103,9637135,.,+,.,AT2G22670,3,Name=IAA8:five_prime_UTR:8,ID=AT2G22670:five_prime_UTR:8,Parent=AT2G22670.3,,,
Chr2,Araport11,exon,9637103,9637623,.,+,.,AT2G22670,3,Name=IAA8:exon:8,ID=AT2G22670:exon:8,Parent=AT2G22670.3,,,
Chr2,Araport11,CDS,9637136,9637623,.,+,0,AT2G22670,3,Name=IAA8:CDS:3,ID=AT2G22670:CDS:3.3,Parent=AT2G22670.3,,,
Chr2,Araport11,CDS,9637721,9637950,.,+,1,AT2G22670,3,Name=IAA8:CDS:4,ID=AT2G22670:CDS:4.4,Parent=AT2G22670.3,,,
Chr2,Araport11,exon,9637721,9637950,.,+,.,AT2G22670,3,Parent=AT2G22670.3,,,,,
Chr2,Araport11,CDS,9638047,9638188,.,+,2,AT2G22670,3,Name=IAA8:CDS:5,ID=AT2G22670:CDS:5.4,Parent=AT2G22670.3,,,
Chr2,Araport11,exon,9638047,9638188,.,+,.,AT2G22670,3,Parent=AT2G22670.3,,,,,
Chr2,Araport11,CDS,9638275,9638336,.,+,1,AT2G22670,3,Name=IAA8:CDS:6,ID=AT2G22670:CDS:6.4,Parent=AT2G22670.3,,,
Chr2,Araport11,exon,9638275,9638336,.,+,.,AT2G22670,3,Parent=AT2G22670.3,,,,,
Chr2,Araport11,CDS,9638416,9638459,.,+,2,AT2G22670,3,Name=IAA8:CDS:7,ID=AT2G22670:CDS:7.2,Parent=AT2G22670.3,,,
Chr2,Araport11,exon,9638416,9638683,.,+,.,AT2G22670,3,Name=IAA8:exon:13,ID=AT2G22670:exon:13,Parent=AT2G22670.3,,,
Chr2,Araport11,three_prime_UTR,9638460,9638683,.,+,.,AT2G22670,3,Name=IAA8:three_prime_UTR:2,ID=AT2G22670:three_prime_UTR:2,Parent=AT2G22670.3,,,
