chrom,source,feature,begin,end,,,,locus,transcript,,,,,,,
Chr1,Araport11,mRNA,8180189,8183650,.,-,.,AT1G23080,1,_Curator_summary=Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots%2C it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone%2C whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs%2C rate-limiting%2C specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.,Dbxref=PMID:17317660,,,,,
Chr1,Araport11,three_prime_UTR,8180189,8180767,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,exon,8180189,8180834,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,CDS,8180768,8180834,.,-,1,AT1G23080,1,Name=PIN7:CDS:8,ID=AT1G23080:CDS:8.1,Parent=AT1G23080.1,,,,
Chr1,Araport11,CDS,8180926,8181002,.,-,0,AT1G23080,1,Name=PIN7:CDS:7,ID=AT1G23080:CDS:7.1,Parent=AT1G23080.1,,,,
Chr1,Araport11,CDS,8181083,8181240,.,-,2,AT1G23080,1,Name=PIN7:CDS:6,ID=AT1G23080:CDS:6.1,Parent=AT1G23080.1,,,,
Chr1,Araport11,CDS,8181682,8181767,.,-,1,AT1G23080,1,Name=PIN7:CDS:4,ID=AT1G23080:CDS:4.1,Parent=AT1G23080.1,,,,
Chr1,Araport11,CDS,8181858,8182128,.,-,2,AT1G23080,1,Name=PIN7:CDS:3,ID=AT1G23080:CDS:3.1,Parent=AT1G23080.1,,,,
Chr1,Araport11,CDS,8182206,8183406,.,-,0,AT1G23080,1,Name=PIN7:CDS:2,ID=AT1G23080:CDS:2,Parent=AT1G23080.1,,,,
Chr1,Araport11,exon,8182206,8183650,.,-,.,AT1G23080,1,Name=PIN7:exon:4,ID=AT1G23080:exon:4,Parent=AT1G23080.1,,,,
Chr1,Araport11,five_prime_UTR,8183407,8183650,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,exon,8180926,8181002,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,exon,8181083,8181240,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,exon,8181682,8181767,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,exon,8181858,8182128,.,-,.,AT1G23080,1,Parent=AT1G23080.1,,,,,,
Chr1,Araport11,mRNA,8180202,8183625,.,-,.,AT1G23080,3,_Curator_summary=Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots%2C it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone%2C whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs%2C rate-limiting%2C specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.,Dbxref=PMID:17317660,,,,,
Chr1,Araport11,exon,8180202,8180335,.,-,.,AT1G23080,3,Name=PIN7:exon:11,ID=AT1G23080:exon:11,Parent=AT1G23080.3,,,,
Chr1,Araport11,three_prime_UTR,8180202,8180335,.,-,.,AT1G23080,3,Name=PIN7:three_prime_UTR:3,ID=AT1G23080:three_prime_UTR:3,Parent=AT1G23080.3,,,,
Chr1,Araport11,three_prime_UTR,8180453,8180767,.,-,.,AT1G23080,3,Name=PIN7:three_prime_UTR:2,ID=AT1G23080:three_prime_UTR:2,Parent=AT1G23080.3,,,,
Chr1,Araport11,exon,8180453,8180834,.,-,.,AT1G23080,3,Name=PIN7:exon:10,ID=AT1G23080:exon:10,Parent=AT1G23080.3,,,,
Chr1,Araport11,CDS,8180768,8180834,.,-,1,AT1G23080,3,Name=PIN7:CDS:8,ID=AT1G23080:CDS:8.2,Parent=AT1G23080.3,,,,
Chr1,Araport11,CDS,8180926,8181002,.,-,0,AT1G23080,3,Name=PIN7:CDS:7,ID=AT1G23080:CDS:7.2,Parent=AT1G23080.3,,,,
Chr1,Araport11,exon,8180926,8181002,.,-,.,AT1G23080,3,Parent=AT1G23080.3,,,,,,
Chr1,Araport11,CDS,8181083,8181240,.,-,2,AT1G23080,3,Name=PIN7:CDS:6,ID=AT1G23080:CDS:6.2,Parent=AT1G23080.3,,,,
Chr1,Araport11,exon,8181083,8181240,.,-,.,AT1G23080,3,Parent=AT1G23080.3,,,,,,
Chr1,Araport11,CDS,8181682,8181767,.,-,1,AT1G23080,3,Name=PIN7:CDS:4,ID=AT1G23080:CDS:4.2,Parent=AT1G23080.3,,,,
Chr1,Araport11,exon,8181682,8181767,.,-,.,AT1G23080,3,Parent=AT1G23080.3,,,,,,
Chr1,Araport11,CDS,8181858,8182128,.,-,2,AT1G23080,3,Name=PIN7:CDS:3,ID=AT1G23080:CDS:3.2,Parent=AT1G23080.3,,,,
Chr1,Araport11,CDS,8182218,8183406,.,-,0,AT1G23080,3,Name=PIN7:CDS:1,ID=AT1G23080:CDS:1.1,Parent=AT1G23080.3,,,,
Chr1,Araport11,exon,8182218,8183625,.,-,.,AT1G23080,3,Name=PIN7:exon:2,ID=AT1G23080:exon:2,Parent=AT1G23080.3,,,,
Chr1,Araport11,five_prime_UTR,8183407,8183625,.,-,.,AT1G23080,3,Name=PIN7:five_prime_UTR:2,ID=AT1G23080:five_prime_UTR:2,Parent=AT1G23080.3,,,,
Chr1,Araport11,exon,8181858,8182128,.,-,.,AT1G23080,3,Parent=AT1G23080.3,,,,,,
Chr1,Araport11,mRNA,8180605,8183570,.,-,.,AT1G23080,2,_Curator_summary=Encodes a novel component of auxin efflux that is located  apically in the basal cell and is involved during embryogenesis in setting up the apical-basal axis in the embryo.  It is also involved in pattern specification during root development.  In roots%2C it is expressed at lateral and basal membranes of provascular cells in the meristem and elongation zone%2C whereas in the columella cells it coincides with the PIN3 domain. Plasma membrane-localized PIN proteins mediate a saturable efflux of auxin. PINs mediate auxin efflux from mammalian and yeast cells without needing additional plant-specific factors. The action of PINs in auxin efflux is distinct from PGPs%2C rate-limiting%2C specific  to auxins and sensitive to auxin transport inhibitors. PINs are directly involved of in catalyzing  cellular auxin efflux.,Dbxref=PMID:17317660,,,,,
Chr1,Araport11,three_prime_UTR,8180605,8181643,.,-,.,AT1G23080,2,Name=PIN7:three_prime_UTR:1,ID=AT1G23080:three_prime_UTR:1,Parent=AT1G23080.2,,,,
Chr1,Araport11,exon,8180605,8181767,.,-,.,AT1G23080,2,Name=PIN7:exon:9,ID=AT1G23080:exon:9,Parent=AT1G23080.2,,,,
Chr1,Araport11,CDS,8181644,8181767,.,-,1,AT1G23080,2,Name=PIN7:CDS:5,ID=AT1G23080:CDS:5,Parent=AT1G23080.2,,,,
Chr1,Araport11,CDS,8181858,8182128,.,-,2,AT1G23080,2,Name=PIN7:CDS:3,ID=AT1G23080:CDS:3.3,Parent=AT1G23080.2,,,,
Chr1,Araport11,exon,8181858,8182128,.,-,.,AT1G23080,2,Parent=AT1G23080.2,,,,,,
Chr1,Araport11,CDS,8182218,8183406,.,-,0,AT1G23080,2,Name=PIN7:CDS:1,ID=AT1G23080:CDS:1.2,Parent=AT1G23080.2,,,,
Chr1,Araport11,exon,8182218,8183570,.,-,.,AT1G23080,2,Name=PIN7:exon:3,ID=AT1G23080:exon:3,Parent=AT1G23080.2,,,,
Chr1,Araport11,five_prime_UTR,8183407,8183570,.,-,.,AT1G23080,2,Name=PIN7:five_prime_UTR:3,ID=AT1G23080:five_prime_UTR:3,Parent=AT1G23080.2,,,,
