chrom,source,feature,begin,end,,,,locus,transcript,,,
Chr2,Araport11,CDS,19106221,19106385,.,+,1,AT2G46530,2,Name=ARF11:CDS:10,ID=AT2G46530:CDS:10.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19106467,19106580,.,+,1,AT2G46530,2,Name=ARF11:CDS:11,ID=AT2G46530:CDS:11.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19106681,19106753,.,+,1,AT2G46530,2,Name=ARF11:CDS:12,ID=AT2G46530:CDS:12.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19106846,19106984,.,+,0,AT2G46530,2,Name=ARF11:CDS:13,ID=AT2G46530:CDS:13.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19107156,19107511,.,+,2,AT2G46530,2,Name=ARF11:CDS:14,ID=AT2G46530:CDS:14.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19107613,19107800,.,+,0,AT2G46530,2,Name=ARF11:CDS:15,ID=AT2G46530:CDS:15.1,Parent=AT2G46530.2
Chr2,Araport11,CDS,19107894,19108029,.,+,1,AT2G46530,2,Name=ARF11:CDS:16,ID=AT2G46530:CDS:16.1,Parent=AT2G46530.2
Chr2,Araport11,exon,19105405,19105560,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19105891,19105975,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19106048,19106138,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19106221,19106385,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19106467,19106580,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19106681,19106753,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19106846,19106984,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19107156,19107511,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19107613,19107800,.,+,.,AT2G46530,2,Parent=AT2G46530.2,,
Chr2,Araport11,exon,19107894,19108331,.,+,.,AT2G46530,2,Name=ARF11:exon:16,ID=AT2G46530:exon:16,Parent=AT2G46530.2
Chr2,Araport11,three_prime_UTR,19108030,19108331,.,+,.,AT2G46530,2,Name=ARF11:three_prime_UTR:1,ID=AT2G46530:three_prime_UTR:1,Parent=AT2G46530.2
Chr2,Araport11,mRNA,19105112,19108331,.,+,.,AT2G46530,3,Dbxref=PMID:16280546,,
Chr2,Araport11,exon,19105112,19105324,.,+,.,AT2G46530,3,Name=ARF11:exon:3,ID=AT2G46530:exon:3,Parent=AT2G46530.3
Chr2,Araport11,CDS,19105112,19105324,.,+,0,AT2G46530,3,Name=ARF11:CDS:2,ID=AT2G46530:CDS:2,Parent=AT2G46530.3
Chr2,Araport11,CDS,19105405,19105560,.,+,0,AT2G46530,3,Name=ARF11:CDS:4,ID=AT2G46530:CDS:4.1,Parent=AT2G46530.3
Chr2,Araport11,exon,19105405,19105560,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19105639,19105791,.,+,0,AT2G46530,3,Name=ARF11:CDS:6,ID=AT2G46530:CDS:6.1,Parent=AT2G46530.3
Chr2,Araport11,exon,19105639,19105791,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19105891,19105975,.,+,0,AT2G46530,3,Name=ARF11:CDS:8,ID=AT2G46530:CDS:8.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19105891,19105975,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19106048,19106138,.,+,2,AT2G46530,3,Name=ARF11:CDS:9,ID=AT2G46530:CDS:9.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19106048,19106138,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19106221,19106385,.,+,1,AT2G46530,3,Name=ARF11:CDS:10,ID=AT2G46530:CDS:10.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19106221,19106385,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19106467,19106580,.,+,1,AT2G46530,3,Name=ARF11:CDS:11,ID=AT2G46530:CDS:11.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19106467,19106580,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19106681,19106753,.,+,1,AT2G46530,3,Name=ARF11:CDS:12,ID=AT2G46530:CDS:12.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19106681,19106753,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19106846,19106984,.,+,0,AT2G46530,3,Name=ARF11:CDS:13,ID=AT2G46530:CDS:13.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19106846,19106984,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19107156,19107511,.,+,2,AT2G46530,3,Name=ARF11:CDS:14,ID=AT2G46530:CDS:14.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19107156,19107511,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19107613,19107800,.,+,0,AT2G46530,3,Name=ARF11:CDS:15,ID=AT2G46530:CDS:15.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19107613,19107800,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,CDS,19107894,19108029,.,+,1,AT2G46530,3,Name=ARF11:CDS:16,ID=AT2G46530:CDS:16.2,Parent=AT2G46530.3
Chr2,Araport11,exon,19107894,19108331,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
Chr2,Araport11,three_prime_UTR,19108030,19108331,.,+,.,AT2G46530,3,Parent=AT2G46530.3,,
